epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
30,113.09,0.52766,0.67125,0.45092,1.00812,0.94566,0.97173,0.98102,0.86713,0.94566,0.97173,0.98102,0.90816,0.5421,0.76815,0.48374,0.89219,0.000891125,0.000891125,0.000891125
31,116.863,0.53676,0.66065,0.46987,1.01271,0.95126,0.97942,0.9852,0.88043,0.95126,0.97942,0.9852,0.91806,0.54808,0.62736,0.44326,0.90512,0.00087875,0.00087875,0.00087875
32,120.627,0.54639,0.6876,0.47577,1.02057,0.97952,0.92459,0.9824,0.8714,0.97952,0.92459,0.9824,0.89736,0.53745,0.63405,0.4586,0.91287,0.000866375,0.000866375,0.000866375
33,124.394,0.55573,0.67894,0.46507,1.0272,0.97155,0.99063,0.98638,0.8961,0.97155,0.99063,0.98638,0.91491,0.48216,0.66413,0.44206,0.84925,0.000854,0.000854,0.000854
34,128.152,0.53262,0.64529,0.43105,1.01216,0.98149,0.99138,0.98672,0.89581,0.98149,0.99138,0.98672,0.88642,0.49537,0.68039,0.43754,0.87741,0.000841625,0.000841625,0.000841625
35,131.911,0.53948,0.64658,0.43987,1.01217,0.97518,0.98276,0.98647,0.88202,0.97518,0.98276,0.98647,0.91745,0.56974,0.66697,0.42912,0.89749,0.00082925,0.00082925,0.00082925
36,135.693,0.5229,0.60508,0.4479,1.01133,0.96571,0.98758,0.98226,0.88357,0.96571,0.98758,0.98226,0.90318,0.53504,0.69666,0.46112,0.8952,0.000816875,0.000816875,0.000816875
37,139.486,0.54119,0.64929,0.4424,1.01858,0.97013,0.98276,0.98526,0.90906,0.97013,0.98276,0.98526,0.92003,0.49944,0.7017,0.39157,0.88505,0.0008045,0.0008045,0.0008045
38,143.284,0.52754,0.62407,0.43828,1.01674,0.96246,0.99138,0.98038,0.8691,0.96246,0.99138,0.98038,0.89471,0.50227,0.74815,0.41715,0.86959,0.000792125,0.000792125,0.000792125
39,147.057,0.53937,0.66788,0.44559,1.02392,0.97422,0.98276,0.98284,0.87586,0.97422,0.98276,0.98134,0.89763,0.53577,0.66737,0.46196,0.88238,0.00077975,0.00077975,0.00077975
40,150.822,0.51876,0.65635,0.43877,1.0047,0.97385,0.96277,0.98508,0.8822,0.97385,0.96277,0.98839,0.9016,0.57079,0.73117,0.48942,0.96252,0.000767375,0.000767375,0.000767375
41,154.603,0.50551,0.62055,0.42841,0.99997,0.98519,0.97538,0.98653,0.87327,0.98519,0.97538,0.98653,0.90802,0.56849,0.792,0.47839,1.00454,0.000755,0.000755,0.000755
42,158.356,0.50091,0.58624,0.40996,0.99542,0.98647,0.96261,0.98648,0.90931,0.98647,0.96261,0.98648,0.92206,0.49404,0.72444,0.42714,0.85869,0.000742625,0.000742625,0.000742625
43,162.145,0.51677,0.6306,0.42884,1.00221,0.98434,0.98727,0.98519,0.88677,0.98434,0.98727,0.98533,0.91237,0.50016,0.71159,0.45233,0.85299,0.00073025,0.00073025,0.00073025
44,165.965,0.50554,0.61324,0.40992,0.98881,0.97937,0.98464,0.98681,0.88068,0.97937,0.98464,0.98681,0.91905,0.4691,0.65524,0.40239,0.85552,0.000717875,0.000717875,0.000717875
45,169.802,0.52765,0.61051,0.41741,1.00431,0.96423,0.98547,0.9871,0.89632,0.96423,0.98547,0.9871,0.91478,0.47188,0.67292,0.4034,0.86759,0.0007055,0.0007055,0.0007055
46,173.569,0.53034,0.60397,0.41821,1.00937,0.98294,0.98276,0.98723,0.88921,0.98294,0.98276,0.98723,0.90493,0.50046,0.76513,0.41477,0.86194,0.000693125,0.000693125,0.000693125
47,177.347,0.4886,0.57888,0.4063,0.99611,0.98445,0.97111,0.98658,0.89003,0.98445,0.97111,0.98706,0.91516,0.50016,0.68687,0.43512,0.88792,0.00068075,0.00068075,0.00068075
48,181.133,0.50274,0.61919,0.41002,0.99081,0.97903,0.98344,0.98416,0.87354,0.97903,0.98344,0.98416,0.90188,0.47787,0.67926,0.40684,0.85834,0.000668375,0.000668375,0.000668375
49,184.93,0.50115,0.59899,0.40167,1.00535,0.96084,0.98104,0.98491,0.85407,0.96084,0.98104,0.98491,0.89404,0.54677,0.64784,0.59275,0.89522,0.000656,0.000656,0.000656
50,188.702,0.50652,0.61688,0.41081,1.00763,0.98108,0.98718,0.98354,0.87016,0.98108,0.98718,0.98354,0.90616,0.49825,0.62733,0.41176,0.89025,0.000643625,0.000643625,0.000643625
51,192.502,0.48012,0.55447,0.4005,0.98671,0.97347,0.98276,0.98359,0.91617,0.97347,0.98276,0.98359,0.91688,0.42367,0.63362,0.36317,0.82311,0.00063125,0.00063125,0.00063125
52,196.296,0.48895,0.57153,0.38414,1.00242,0.97818,0.98276,0.98418,0.88686,0.97818,0.98276,0.98418,0.91117,0.46266,0.70243,0.35861,0.84638,0.000618875,0.000618875,0.000618875
53,200.084,0.48352,0.57084,0.38811,0.98638,0.98169,0.98276,0.98322,0.90848,0.98445,0.98675,0.98359,0.9156,0.47305,0.65281,0.35439,0.83963,0.0006065,0.0006065,0.0006065
54,203.893,0.48713,0.6002,0.38623,0.98859,0.97394,0.98609,0.98581,0.91143,0.97394,0.98609,0.98581,0.91323,0.49709,0.67262,0.403,0.84674,0.000594125,0.000594125,0.000594125
55,207.677,0.49201,0.56826,0.39947,0.9937,0.97739,0.9844,0.98741,0.89474,0.97739,0.9844,0.98741,0.91682,0.47356,0.69162,0.3869,0.83099,0.00058175,0.00058175,0.00058175
56,211.511,0.49253,0.5836,0.38997,0.98831,0.97729,0.98468,0.98628,0.90156,0.97729,0.98468,0.98628,0.91726,0.47953,0.77638,0.37548,0.83483,0.000569375,0.000569375,0.000569375
57,215.321,0.48215,0.55933,0.37349,0.99314,0.97611,0.98276,0.9826,0.90896,0.97611,0.98276,0.9826,0.91562,0.48407,0.7969,0.34974,0.87053,0.000557,0.000557,0.000557
58,219.193,0.4866,0.60077,0.38356,0.99275,0.96371,0.97099,0.98567,0.90915,0.96371,0.97099,0.98567,0.9125,0.48623,0.80749,0.3656,0.83781,0.000544625,0.000544625,0.000544625
59,223.052,0.48267,0.55544,0.37514,0.99232,0.98346,0.98049,0.98476,0.90043,0.98346,0.98049,0.98476,0.92035,0.49805,0.74098,0.37434,0.83576,0.00053225,0.00053225,0.00053225
60,226.905,0.46757,0.54155,0.37734,0.97293,0.98169,0.98351,0.98491,0.89623,0.98169,0.98351,0.98491,0.91489,0.48252,0.74686,0.349,0.86152,0.000519875,0.000519875,0.000519875
61,230.837,0.48973,0.55944,0.39175,0.99833,0.97989,0.97414,0.98727,0.92102,0.97989,0.97414,0.98727,0.9199,0.44126,0.67363,0.36353,0.81984,0.0005075,0.0005075,0.0005075
62,234.79,0.47506,0.62104,0.38523,0.98303,0.97018,0.98439,0.98637,0.91751,0.97018,0.98439,0.98637,0.91705,0.44699,0.72153,0.36999,0.8246,0.000495125,0.000495125,0.000495125
